Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,cpi_score
Afghanistan,3.203,0.35,0.0,0.361,0.0,0.158,0.025,0.0,Asia,2017,15
Albania,4.719,0.947,0.0,0.874,0.383,0.178,0.027,0.0,Europe,2017,38
Algeria,5.211,1.002,0.0,0.785,0.086,0.073,0.114,0.0,Africa,2017,33
Argentina,6.086,1.092,0.0,0.881,0.471,0.066,0.05,0.0,South America,2017,39
Armenia,4.559,0.85,0.0,0.815,0.283,0.095,0.064,0.0,Asia,2017,35
Australia,7.228,1.372,0.0,1.036,0.557,0.332,0.29,0.0,Australia,2017,77
Austria,7.246,1.376,0.0,1.016,0.532,0.244,0.226,0.0,Europe,2017,75
Azerbaijan,5.208,1.043,0.0,0.769,0.351,0.035,0.182,0.0,Asia,2017,31
Bahrain,6.199,1.362,0.0,0.871,0.536,0.255,0.11,0.0,Asia,2017,36
Bangladesh,4.456,0.562,0.0,0.723,0.527,0.166,0.143,0.0,Asia,2017,28
Belarus,5.323,1.067,0.0,0.789,0.235,0.094,0.142,0.0,Europe,2017,44
Belgium,6.923,1.356,0.0,0.986,0.473,0.16,0.21,0.0,Europe,2017,75
Benin,4.883,0.393,0.0,0.397,0.349,0.175,0.082,0.0,Africa,2017,39
Bolivia,5.779,0.776,0.0,0.706,0.511,0.137,0.064,0.0,South America,2017,33
Bosnia and Herzegovina,5.386,0.945,0.0,0.845,0.212,0.263,0.006,0.0,Europe,2017,38
Botswana,3.488,1.041,0.0,0.538,0.455,0.025,0.1,0.0,Africa,2017,61
Brazil,6.3,1.004,0.0,0.802,0.39,0.099,0.086,0.0,South America,2017,37
Bulgaria,5.011,1.092,0.0,0.815,0.311,0.081,0.004,0.0,Europe,2017,42
Burkina Faso,4.587,0.331,0.0,0.38,0.255,0.177,0.113,0.0,Africa,2017,42
Burundi,3.775,0.046,0.0,0.38,0.22,0.176,0.18,0.0,Africa,2017,22
Cambodia,4.7,0.574,0.0,0.637,0.609,0.232,0.062,0.0,Asia,2017,21
Cameroon,5.044,0.549,0.0,0.331,0.381,0.187,0.037,0.0,Africa,2017,25
Canada,7.278,1.365,0.0,1.039,0.584,0.285,0.308,0.0,North America,2017,82
Chad,4.35,0.35,0.0,0.192,0.174,0.198,0.078,0.0,Africa,2017,20
Chile,6.444,1.159,0.0,0.92,0.357,0.187,0.056,0.0,South America,2017,67
China,5.191,1.029,0.0,0.893,0.521,0.058,0.1,0.0,Asia,2017,41
Colombia,6.125,0.985,0.0,0.841,0.47,0.099,0.034,0.0,South America,2017,37
Costa Rica,7.167,1.034,0.0,0.963,0.558,0.144,0.093,0.0,South America,2017,59
Croatia,5.432,1.155,0.0,0.914,0.296,0.119,0.022,0.0,Europe,2017,49
Cyprus,6.046,1.263,0.0,1.042,0.406,0.19,0.041,0.0,Asia,2017,57
Denmark,7.6,1.383,0.0,0.996,0.592,0.252,0.41,0.0,Europe,2017,88
Dominican Republic,5.425,1.015,0.0,0.779,0.497,0.113,0.101,0.0,South America,2017,29
Ecuador,6.028,0.912,0.0,0.868,0.498,0.126,0.087,0.0,South America,2017,32
